phrase,class
visiting museum jan 22 part museum see,2
3 ticket please,0
love science,5
oct 17,5
want buy one ticket exhibition nature,0
wa used watch oprah lot afternoon,3
earthquake passion mine exhibition caixa museum cover,1
first time really landscape house house like farm house ' s main road,3
geological wall,5
interested earthquake,5
four ticket sustainable building exhibition,0
like architecture,5
call coulter,4
ten ticket flooded forest exhibition,0
love evolution matter,5
see cosmocaixa museum,2
sokhom,4
9 ticket next week please,0
name boaz,4
good evening,4
name lindzy,4
five ticket flooded forest exhibition,0
9 ticket tuesday,0
interested environment,5
must stronger heavier copper time,3
show exhibition evolution,1
like jungle earth,5
like sustainability,5
three ticket jul 21 please,0
9 ticket 15 feb,0
want buy 10 ticket exhibition star,0
1 ticket aug 22 please,0
like efficiency,5
next weekend,2
four ticket sep 30,0
interested space exhibition go to =,1
called deric,4
want buy 7 ticket exhibition exploration,0
wednesday,2
want buy 2 ticket flooded forest exhibition,0
may 25,5
3,5
want buy five ticket sustainable building exhibition,0
called andreia,4
love biodiversity exhibition go,1
interested volcano photography,5
five ticket caixa museum please,0
one ticket exhibition education,0
see geological wall mar 27,2
one ticket caixa museum please,0
well talked kuwaiti woman yesterday,3
10,5
see flooded forest 21 jul,2
see flooded forest next month,2
dec 09,2
noticed parent spending time,3
see sustainable building 31 jul,2
love water,5
sun,5
love forest climate,5
like evolution,5
see flooded forest 01 oct,2
two ticket geological wall exhibition,0
ten ticket monday,0
called christyna,4
three,5
want visit museum,1
need 10 ticket,0
think would kind interesting,3
nine ticket mar 25 please,0
interested nature,5
like star,5
jun 08,5
like sun,1
like exploration,5
greeting,4
new company came like said remodeled place,3
exhibition climate change,1
like earthquake,5
15 aug,5
degree think kind bizarre,3
show exhibition cosmos,1
oh agree,3
thursday,5
want buy three ticket universe room exhibition,0
20 jan,5
right right well walking tour,3
million year think,3
show exhibition architecture,1
like cosmos,1
seven ticket geological wall exhibition,0
six ticket,0
8 ticket thursday please,0
interested climate change climate,5
high school everyone sort try opinion seems,3
see antarctic base next tuesday,2
would prefer mean sometimes ' ve said let ' s keep interested country,3
asked anywhere n ' t go alone,3
planet passion mine exhibition caixa museum cover,1
would like nine ticket,0
love big bang,5
see flooded forest oct 07,2
nor - normally come say ' ve overextended conversation,3
interested environment exploration,5
oh see fresh dirt,3
interested photo exhibition go to =,1
well jean seem opinion,3
ticket geological wall exhibition,0
typical breed ?,3
think would good experience,3
would like get 3 ticket please,0
museum open apr 10,2
17 jun,5
nine ticket caixa museum please,0
would like one ticket please,0
call lindzy,4
visiting museum next thursday part museum see,2
next weekend,5
like climate change,5
2,5
interested forest suggest,1
may 29,5
show exhibition big bang,1
going,4
6 ticket sustainable building exhibition,0
love evolution,5
want go diving,3
exhibition planet,1
buy ticket,0
see geological wall next wednesday,2
want buy 7 ticket universe room exhibition,0
see universe room saturday,2
kid n ' t responsibility,3
want learn photo exhibition recommend,1
two ticket,0
like geology,5
interested mar animal,5
much 7 ticket museum cost ?,0
although claim florida home two son living also two son living elsewhere,3
visiting museum aug 22 part museum see,2
like jungle,5
nine ticket exhibition climate change,0
see universe room next month,2
negotiation could n ' t resolve,3
one ticket flooded forest exhibition,0
interested earth,5
see antarctic base 13 feb,2
n ' t know think somehow hoped people could better expecting,3
love education exhibition go,1
shauntay,4
exhibition earthquake,1
' s like slap finger,3
mom dad curse,3
called tyeshia,4
whatever whatever amount n ' t want say three month,3
love plant exhibition go,1
seven,5
4,5
like earthquake big bang,5
like climate change,5
called sokhom,4
10 ticket next monday,0
like exploration,5
still benefited,3
like nature,1
ecology,5
photo passion mine exhibition caixa museum cover,1
cosmos star,5
somebody take care,3
visiting museum next friday part museum see,2
well year guess,3
5,5
one ticket next tuesday please,0
,4
want learn sustainability exhibition recommend,1
see antarctic base next sunday,2
want buy ticket,0
interested earth exhibition go to =,1
2 ticket dec 14 please,0
5 ticket caixa museum please,0
apr 08,5
like light,5
love sun exhibition go,1
name tyeshia,4
interested animal amazon,5
like science,5
much ten ticket museum cost ?,0
seven ticket apr 21,0
like evolution,5
visiting museum dec 06 part museum see,2
museum open 06 jul,2
geological wall,5
3 ticket tuesday please,0
ticket flooded forest exhibition,0
love nature,5
12 nov,5
would vote pro choice,3
want buy ticket geological wall exhibition,0
want learn artic exhibition recommend,1
museum open apr 04,2
interested south america suggest,1
way guess,3
want buy 6 ticket geological wall exhibition,0
1,5
n ' t know think ' s probably due pricing often,3
3,5
nine ticket tomorrow,0
one ticket,0
good night,4
see antarctic base 08 dec,2
ten ticket 12 aug please,0
4,5
could please get three ticket,0
see universe room 30 oct,2
president someday maybe,3
would like six ticket please,0
mean really sick use,3
love science climate change,5
get 2 ticket please,0
4,5
good morning,4
crash,4
think know ' s thing,3
two ticket antarctic base exhibition,0
look job description would s - know teaching third list importance thing,3
seen town change town city,3
u town newspaper,3
see flooded forest mar 08,2
would like get 10 ticket,0
ten ticket tuesday,0
four,5
called anuja,4
flooded forest,5
10 ticket 15 may,0
nov 16,5
' s ' s feeling great today,3
one ticket geological wall exhibition,0
like planet,5
may ask something ?,4
evolution space,5
like science,5
see universe room next monday,2
5 ticket monday please,0
show big school since n ' t long ?,3
eight ticket next thursday please,0
like photography,5
eight,5
could please get one ticket,0
well enjoyed topic hope good day,3
museum open 21 may,2
get one ticket please,0
everything ?,4
want buy ticket exhibition sustainability,0
want buy ticket antarctic base exhibition,0
flooded forest exhibit start,2
want buy seven ticket exhibition science,0
interested geology suggest,1
show exhibition star,1
like forest,1
interested earth,5
see flooded forest today,2
nice see,4
permit criminal get retrial,3
technology,5
ten ticket antarctic base exhibition,0
like volcano,1
related science,1
interested jungle exhibition go to =,1
saturday,5
good see,4
8 ticket exhibition light,0
exhibition space,1
' ve got bombay turkish van himalayan persian,3
today,5
see universe room oct 15,2
river south america,5
love amazon photography,5
interested sustainability animal,5
,2
eight,5
2,5
see sustainable building 06 dec,2
6 ticket sunday please,0
show exhibition biodiversity,1
see antarctic base apr 24,2
s - b - freedom speech,3
want buy 10 ticket flooded forest exhibition,0
show exhibition animal,1
like biodiversity,5
would like nine ticket please,0
back like piston calling ?,3
would like go flooded forest exhibition next monday,0
want buy 9 ticket sustainable building exhibition,0
interested physic suggest,1
7,5
visiting museum next saturday part museum see,2
want buy 4 ticket sustainable building exhibition,0
show exhibition physic,1
like climate,5
want learn education exhibition recommend,1
related universe,1
10,5
geological wall,2
4,5
eight ticket jan 28,0
love south america evolution,5
interested design,5
need 2 ticket,0
love forest,5
want buy 7 ticket exhibition biodiversity,0
sep 29,5
would like get 6 ticket please,0
one ticket weekend please,0
museum open next thursday,2
oct 02,2
interested cosmos,5
see universe room 29 apr,2
next month,5
forest,5
5 ticket tuesday,0
interested light exhibition go to =,1
' s n ' t see anyone afford,3
believe would probably tend towards,3
interested north pole star,5
universe space,5
interested artic,5
start new job tomorrow take house four day week,3
like climate change,5
monday,5
see universe room next weekend,2
show exhibition amazon,1
interested ecology,5
interested gravity exhibition go to =,1
want buy eight ticket flooded forest exhibition,0
peace corp first started,3
know something v show,3
want buy fruit,3
want buy nine ticket exhibition brazil,0
see geological wall 09 sep,2
see flooded forest 16 nov,2
could get 1 ticket,0
three ticket flooded forest exhibition,0
could get eight ticket,0
photography geology,5
name heinz,4
oh would love know,3
want go 12 nov ticket day,0
wish sentence someone going sentence five year make serve five year,3
much 1 ticket museum cost ?,0
see geological wall 25 oct,2
see geological wall 18 may,2
interested mar exploration,5
interested science exhibition go to =,1
like ecology,5
exhibition education,2
universe room,5
14 sep,5
like urban planning,1
nine ticket,0
deric,4
10,5
like ecology,1
south america passion mine exhibition caixa museum cover,1
like life architecture,5
mild say light weight lifting nothing ' m trying make big bulging muscle,3
science forest,5
know look say well thought beforehand,3
next thursday,5
recommend exhibit,1
photography passion mine exhibition caixa museum cover,1
see geological wall tuesday,2
crime ' s already mumblex chart determine punishment,3
two ticket monday,0
want buy 10 ticket geological wall exhibition,0
nine ticket next friday,0
see universe room mar 11,2
love exploration exhibition go,1
related light,1
nov 05,5
6 ticket caixa museum please,0
would never love country much symbol mean lot,3
next month,2
want learn science exhibition recommend,1
eight ticket saturday,0
10 ticket wednesday,0
want buy nine ticket,0
3 ticket caixa museum please,0
similar experience grew farm always outdoor pet,3
called agnieszka,4
see antarctic base 18 may,2
seem fall short really creative lot thing mean,3
matter,5
' s basically rural county get half way point,3
seven ticket antarctic base exhibition,0
' s grand pull,3
like biodiversity,5
weekend,2
10,5
want buy ticket geological wall exhibition,0
see sustainable building sep 15,2
see universe room sep 11,2
everything else friend work,3
wish buy caixa museum ticket,0
show exhibition volcano,1
name mao,4
may 14,5
interested space,5
told said could tell fifteen minute place go,3
six ticket exhibition technology,0
like space,5
' s right enough people want,3
1,5
exhibition available,2
see flooded forest 31 jul,2
still found guilty ?,3
like architecture,5
believe know lived plano n ' t know familiar plano,3
think kid like universe room,2
like gravity,5
biodiversity,5
interested matter suggest,1
photo,5
mean n ' t seen couple month,3
want buy one ticket sustainable building exhibition,0
like physic,1
want buy 3 ticket exhibition moon,0
get job university ' ve got ten year probation,3
good eat ?,3
related space,1
call chermaine,4
museum open sunday,2
want buy five ticket geological wall exhibition,0
museum open nov 25,2
like environment,5
interested climate,5
related photography,1
interested efficiency physic,5
want buy 3 ticket universe room exhibition,0
probably friend television ?,3
like climate change,5
' s hardly anything putting tire,3
19 mar,2
see flooded forest tuesday,2
four,5
involving violent crime anything,3
see universe room today,2
see antarctic base 22 feb,2
like nature,5
1 ticket monday,0
15 jul,5
like brazil,5
exhibition south pole,1
started working worked job moved new house quit job inconvenient,3
8 ticket 16 oct please,0
right absolutely right ' s good,3
called siaosi,4
like biodiversity star,5
level defined number working adult number child,3
museum open jul 05,2
want buy 8 ticket exhibition earthquake,0
name sokhom,4
g - freedom expression speech,3
would like 3 ticket please,0
see sustainable building jun 11,2
need eight ticket,0
like technology,5
two ticket dec 10,0
think ' s true,3
amazon evolution,5
see flooded forest week,2
probably cafeteria thought,3
8 ticket 28 jan please,0
could please get five ticket,0
eating meat kick,3
would like four ticket,0
interested climate,5
could please get 2 ticket,0
interested evolution light,5
like astronomy,5
go fantastic,3
' ve heard ' s pretty cool,3
climate change,5
see geological wall 19 apr,2
4 ticket antarctic base exhibition,0
think,3
related planet,1
like climate,5
want learn mar exhibition recommend,1
much one ticket museum cost ?,0
mar 05,2
' ve never heard thing,3
5 ticket sustainable building exhibition,0
came remodeled whole place,3
like artic,5
interested forest exhibition go to =,1
love south pole,5
museum open 01 sep,2
helloo,4
exhibition geology,1
know summer vouch,3
interested planet,5
like earth,1
like mar,5
ready storm saudi n ' t try help friend ?,3
six ticket friday please,0
guess understand thing could,3
want learn efficiency exhibition recommend,1
well little ' m trying get get ready early,3
next wednesday,5
plea bargain guilty know,3
7 ticket friday please,0
6 ticket dec 18 please,0
exhibition brazil,2
interested south pole,5
like matter,5
25 oct,2
one ticket 16 jul,0
called keitha,4
love star exhibition go,1
mail order one ' ve dealt rose offer first summer,3
6,5
one ticket nov 11,0
tell antarctic base exhibit,2
1,5
see sustainable building tomorrow,2
tha - come everybody lawyer know know,3
see sustainable building sunday,2
07 jan,5
interested star suggest,1
one ticket please,0
would like get one ticket,0
9,5
sep 04,5
interested earthquake exhibition go to =,1
' s ' s mustang two barrel carburetor,3
see sustainable building saturday,2
want buy one ticket antarctic base exhibition,0
think ' s ' s ' s ' s taxpayer ' s money somebody,3
design passion mine exhibition caixa museum cover,1
01 sep,2
forest passion mine exhibition caixa museum cover,1
like river,5
visiting museum monday part museum see,2
25 apr,5
would like five ticket please,0
interested volcano,5
like nature,5
ask something ?,4
love climate,5
love climate change photo,5
best could home,3
rock passion mine exhibition caixa museum cover,1
climate change climate change,5
sunday,5
really know n ' t understand people live n ' t understand,3
want learn cosmos exhibition recommend,1
22 apr,2
ju - knowing know get bolt,3
want buy 5 ticket flooded forest exhibition,0
right ' s sharing,3
visiting museum apr 21 part museum see,2
shake,3
name sanjuana,4
sustainable building,5
know different thing restricted certain crime ?,3
tell sustainable building exhibition,2
show exhibition education,1
seven ticket next month please,0
want learn climate exhibition recommend,1
related evolution,1
would like 5 ticket,0
like architecture,5
13 jun,2
1 ticket 13 oct please,0
see sustainable building friday,2
like cosmos south america,5
interested light,5
could get nine ticket,0
wednesday,5
wednesday,5
get six ticket please,0
next saturday,5
need seven ticket,0
1 ticket sustainable building exhibition,0
gravity passion mine exhibition caixa museum cover,1
want buy two ticket antarctic base exhibition,0
exhibit available,2
ticket available exhibition animal,0
ten ticket geological wall exhibition,0
,3
everything going,4
interested moon suggest,1
like moon,5
want go flying,3
well kind put trap please special interest group well,3
interested big bang exhibition go to =,1
exhibition earth,1
' s matter people lazy,3
one ticket caixa museum please,0
hello,4
one ticket 04 oct please,0
worked shift eleven year,3
want know exhibition museum,2
' s ' ve seen ' ve seen probably,3
would like five ticket,0
want buy nine ticket geological wall exhibition,0
see flooded forest mar 23,2
one,5
like life matter,5
howling,4
exhibition sustainability,1
amazon,5
4 ticket sustainable building exhibition,0
like geology,5
2,5
next week,5
related cosmos,1
character call pat n ' t know ' s man woman,3
exhibition rock,1
see geological wall next sunday,2
want buy three ticket,0
interested landscape,5
would like one ticket,0
looking twenty - two thousand dollar tuition room board,3
5,5
lot lot catnip ' s ' s still green ' s two day ' m encouraged,3
want buy six ticket flooded forest exhibition,0
interested biodiversity,5
name dinesh,4
heya,4
nine ticket sustainable building exhibition,0
oh oh absolutely go year year cost hundred thousand dollar taxpayer money,3
monday,2
like biodiversity,5
nine ticket flooded forest exhibition,0
fact found ' m lot closer son ' s gone n ' t even know ' s,3
interested evolution suggest,1
ten ticket aug 15,0
need five ticket,0
like urban planning,5
tell sustainable building exhibition,2
1 ticket week please,0
related design,1
' s lucked dad worked braniff kid got know air fare free got ...,3
' s really shame,3
love geology evolution,5
want buy 6 ticket antarctic base exhibition,0
8 ticket 31 dec,0
exhibition education,1
museum open monday,2
interested sustainability,5
like water,5
related biodiversity,1
hired new nurse really redid know,3
museum open feb 15,2
show exhibition brazil,1
10 ticket 23 oct,0
interested universe climate,5
want buy four ticket universe room exhibition,0
love brazil sustainability,5
tell something next time go ' s thing know,3
want learn architecture exhibition recommend,1
government full liar thief crook,3
let alone country,3
exhibition,2
three ticket caixa museum please,0
want buy 9 ticket,0
like ecology star,5
see geological wall 06 feb,2
want buy 7 ticket sustainable building exhibition,0
see sustainable building week,2
long time see,4
south america light,5
exhibition matter,2
want buy one ticket geological wall exhibition,0
urban planning,5
casimiro,4
see universe room nov 13,2
visiting museum 15 oct part museum see,2
24 jun,5
exhibition best suited child,2
like forest,5
5 ticket exhibition nature,0
dec 12,5
show exhibition light,1
interested star education,5
nice meeting,4
yes wish answer everybody,3
sustainable building,5
interested climate change suggest,1
see sustainable building wednesday,2
would like get ten ticket please,0
right eat quite bit ' s husband home,3
museum open 15 dec,2
well said w - happened lunch time,3
ticket antarctic base exhibition,0
climate change,5
interested south america,5
brazil,5
4 ticket please,0
kid home morning ...,3
would like get five ticket please,0
see flooded forest jan 06,2
home would read play,3
got get ' s going ' ve got twist arm get go,3
museum open 22 nov,2
like nature,5
interested universe suggest,1
8,5
call mao,4
see universe room sunday,2
really ' m kind open food ' m might call culinary adventurer,3
get five ticket please,0
south america,5
like biodiversity,5
interested star exhibition go to =,1
like climate,1
like nature,5
see sustainable building next thursday,2
see sustainable building 18 jun,2
like amazon,5
pay straight five dollar anything doctor visit drug,3
interested plant exhibition go to =,1
well wait minute the -,3
want learn environment exhibition recommend,1
matter passion mine exhibition caixa museum cover,1
see universe room 12 aug,2
exhibition animal,1
' s kind,3
see ' s female say well carry purse pat say carry fanny pack,3
exhibition landscape,1
seven,5
want buy nine ticket antarctic base exhibition,0
see sustainable building 17 jan,2
museum open today,2
eight ticket flooded forest exhibition,0
three ticket,0
antarctic base,5
see flooded forest tuesday,2
flooded forest suitable kid,2
22 oct,5
exhibition brazil,1
call sanjuana,4
name anuja,4
show exhibition life,1
want buy 4 ticket universe room exhibition,0
love nature biodiversity,5
sep 09,2
shall look,3
see sustainable building jan 09,2
interested ecology exhibition go to =,1
related climate change,1
saturday,2
7 ticket month,0
next friday,2
mar passion mine exhibition caixa museum cover,1
show exhibition earthquake,1
interested exploration,5
could please get 9 ticket,0
20 dec,5
see universe room tuesday,2
want buy four ticket exhibition south america,0
want buy 2 ticket,0
see universe room mar 18,2
see sustainable building next friday,2
show exhibition universe,1
tomorrow,5
interested river exhibition go to =,1
' ve got twelve ticket mail ' ve mumblex ?,3
interested urban planning suggest,1
feb 06,5
want buy one ticket antarctic base exhibition,0
7 ticket 19 oct,0
see universe room jan 12,2
6,5
freedom choice,3
interested climate change,5
call sokhom,4
love earth,5
ticket exhibition universe,0
museum open month,2
would like get 5 ticket,0
dec 13,5
want learn space exhibition recommend,1
six ticket universe room exhibition,0
want buy eight ticket geological wall exhibition,0
want buy one ticket,0
2 ticket caixa museum please,0
recipe pittsburgh consisted red meat potato,3
working ?,3
oh really like cross - pollination,3
,4
' s definitely ready get run around,3
get four ticket please,0
see universe room 22 dec,2
tell universe room exhibition,2
love sustainability exhibition go,1
would like 1 ticket,0
name christyna,4
' s cold water around,3
visiting museum friday part museum see,2
1 ticket exhibition south america,0
want buy ticket exhibition photography,0
could get three ticket,0
10 ticket thursday please,0
two ticket exhibition earth,0
would like get 1 ticket,0
' s exactly trying get,3
1 ticket 05 jul please,0
love life mar,5
oh well made fifty,3
museum open next sunday,2
difference,3
mean ' s like n ' t worry television least know everybody ' s,3
8,5
8,5
hoping something cut,3
like amazon,5
get three year probation,3
love design,5
' m best,3
next weekend,5
7 ticket exhibition planet,0
one ticket next friday please,0
tuesday,5
six,5
nine,5
4 ticket 28 sep,0
n ' t fancy stuff worry know auto shop ag shop,3
love moon exhibition go,1
21 jul,5
see geological wall today,2
2,5
sustainable building,5
happens next ?,4
4 ticket tuesday,0
,4
n ' t know get signal,3
ticket geological wall exhibition,0
end n ' t married long know,3
see universe room 08 sep,2
want buy 8 ticket sustainable building exhibition,0
may 23,2
exhibition sun,1
purchase ticket,0
want buy one ticket sustainable building exhibition,0
eight ticket 10 jul,0
5 ticket flooded forest exhibition,0
like earth climate,5
related photo,1
want buy ticket flooded forest exhibition,0
love climate change planet,5
one ticket monday please,0
want learn jungle exhibition recommend,1
one,5
want buy seven ticket exhibition astronomy,0
mar 29,5
want learn physic exhibition recommend,1
see flooded forest next tuesday,2
name isaih,4
like also dog maybe need home wash,3
three ticket antarctic base exhibition,0
see antarctic base apr 19,2
interested efficiency,5
pretty impressed western auto n ' t great job changing transmission oil last time,3
10,5
love exploration,5
nine ticket geological wall exhibition,0
good,4
flooded forest,5
eight ticket,0
state income tax,3
4 ticket friday please,0
interested star,5
interested astronomy exhibition go to =,1
interested nature exhibition go to =,1
5,5
mar technology,5
boaz,4
two ticket universe room exhibition,0
going say hi,4
' ve got two older car ' s seventy - seven ' s seventy - eight,3
interested biodiversity suggest,1
real barbecue kick lately,3
' s probably true n ' t hungry n ' t meal went bought,3
eight ticket jan 11 please,0
get ten ticket please,0
2 ticket next friday please,0
think know read something think time magazine protest,3
7 ticket next wednesday please,0
big bang,5
love geology photo,5
hi,4
four ticket jul 26 please,0
see geological wall wednesday,2
see sustainable building jan 25,2
would like get 7 ticket,0
want buy 2 ticket sustainable building exhibition,0
want buy 9 ticket flooded forest exhibition,0
could disap - gotten away lunch time,3
like education,5
interested sustainability exhibition go to =,1
want buy ticket antarctic base exhibition,0
6 ticket saturday please,0
like urban planning,5
like climate change,5
visiting museum 10 jan part museum see,2
know mean dallas supervisor four non exempts,3
want learn volcano exhibition recommend,1
six ticket flooded forest exhibition,0
want buy 10 ticket antarctic base exhibition,0
universe room,5
see geological wall thursday,2
interested education matter,5
27 sep,5
could please get ten ticket,0
right tell people feel sorriest ' s guy particular go,3
ticket next tuesday,0
n ' t long ?,3
museum open 19 oct,2
interested mar suggest,1
exhibition environment,2
sunday,5
could get ten ticket,0
exploration earth,5
could get 3 ticket,0
would like go geological wall exhibition dec 07,0
see universe room sep 03,2
exhibition forest,2
love science exhibition go,1
tell consider liberal ?,3
tell antarctic base exhibition,2
museum open wednesday,2
ten ticket universe room exhibition,0
crime brutal know useless may seem best way n ' t know,3
inability understand multicultural multiracial situation,3
ticket apr 05,0
want buy seven ticket sustainable building exhibition,0
went saying guilty innocent guilty innocent,3
see geological wall month,2
well anyway sure enjoyed talking although difficult,3
lot kind worked way college mechanic kid,3
want buy 7 ticket flooded forest exhibition,0
one ticket next tuesday,0
,4
3,5
mean thing really gone sight last guess last ten year,3
jungle passion mine exhibition caixa museum cover,1
okay know like two like three continent always fighting,3
like cosmos,5
like amazon,1
jenny sweet kid,3
10 ticket next wednesday please,0
two,5
want buy six ticket exhibition efficiency,0
four ticket today,0
thing gave guy power material told go know,3
get one ticket please,0
see see parent way could afford send twelve kid college,3
like education,5
interested sun suggest,1
know higher echelon,3
exhibit,2
apr 06,5
astronomy exploration,5
like south pole,5
today,5
8 ticket next sunday,0
ten ticket,0
see flooded forest friday,2
see sustainable building thursday,2
wife agnostic ' m backsliding presbyterian,3
suggest exhibition,1
different circumstance call different thing,3
much 2 ticket museum cost ?,0
want buy six ticket,0
antarctic base,5
good night,4
love photography astronomy,5
want buy 2 ticket exhibition sun,0
minute mean minute something happens,3
' s taken part unknown,3
n ' t think deserve anything le,3
seven ticket feb 27 please,0
9 ticket next weekend,0
guess ' s thin ' s opinion guess feel differently,3
interested evolution,5
see flooded forest sep 18,2
' s great always thought would great twin,3
flooded forest,5
well going ask wife work ?,3
show exhibition astronomy,1
want buy 2 ticket exhibition design,0
week,2
would like two ticket,0
next friday,5
want buy 3 ticket sustainable building exhibition,0
exhibition photo,1
see antarctic base saturday,2
05 may,5
2,5
sunday,5
inside jail n ' t think ' s real rehabilitation,3
09 nov,5
' s funny ' s almost like lot thing available u child,3
' s little,3
happens built shopping center next,3
would like get seven ticket please,0
know choose,1
rub siding,3
good seeing,4
big ' s big thing live bedroom ' m single,3
know although would n ' t want mumblex make people go military voluntarily,3
10,5
01 mar,5
love photo river,5
love brazil sustainability,5
exhibition artic,1
interested architecture,5
like photography,5
eight ticket friday please,0
see sustainable building mar 01,2
would like ten ticket,0
3 ticket thursday please,0
like physic,5
ten,5
see geological wall dec 10,2
nice meet,4
see geological wall friday,2
like sustainability,1
love animal,5
feb 02,5
four ticket nov 04,0
related south america,1
love education,5
kid like sustainable building,2
probably outdoorsie stuff keeping trying keep away v guess mcdonald ' s,3
